二级标签,健康度分类,网络来源,发布者,标题,内容,ocr内容,车型频次,链接,调性
品牌报道,视频类,抖音,幽兰,当一天和尚撞一天钟，做一天牛马发一天疯，#最近很火的一首歌 #我也来凑个热闹,当一天和尚撞一天钟，做一天牛马发一天疯，#最近很火的一首歌 #我也来凑个热闹,不如当一天 4 专痛宁做一天牛年新商堂我时源定你真做一天牛马我就发一天疯生活不是卡岁平安福奇双全新时造宝满堂富查风年英奇瑞宝你说公主请打新利团文空宣脑袋持续放空听春祝福: 我有你花开富安罗岁平安福奇全新射造宝满交富贵我组有你花开富风制水到想事成三重利达父母美庭鼠年福寿宁奶婚: 心事成富贵利达帆流制水到成先做一个暴富的梦中福平安万事如意,,https://www.douyin.com/video/7410063061844888866,正面
产品报道,视频类,抖音,唯娜轩小玉,菏泽地推非常奈斯#一群女汉子在一个陌生的城市里把不可能变为可能，团结一心，同心协力，我们定能够战胜一切困难#唯有经历方能懂得 #记录我们那一刻 #,菏泽地推非常奈斯#一群女汉子在一个陌生的城市里把不可能变为可能，团结一心，同心协力，我们定能够战胜一切困难#唯有经历方能懂得 #记录我们那一刻 #,"浅笑安然本月消费最近到店共1笔 2024-09-0121:47:43 A*0 支持信用卡/花呗商家服务可升级至200万收款保领取你的官方收钱码海洋王桂玉(**玉) 你敢收我敢赔免费领陈倩影收入> 账单分类收钱码收款 2024-09-0214:20:35 商品说明标签和备注添加> 计入收支 **强往来流水证明申请电子回单对此订单有疑问立即领取10商家积分联系顾客平安幸福伊人浅笑 A鱼煲煲(鼓楼广场店184··. 唯娜轩小玉(招商0加盟)(**玉) 查看该顾客到店次数 09月02日21:18 18 21:18 情永恒 A唯娜轩@娜@18366631025(**娜) A@秀@(*秀) 一棵树 ￥100.00 当前状态 6529 填写该笔收款的备忘交易记录交易记录 1000049901202409020139341413 已收钱近90天交易记录去了解 2024-09-0219:47:08 糖*3 用经营码收款,可发起退款。 今天收款时间 ￥99.00 2024年09月02日18:01:01 零钱余额处理订单保存收款码 A长安奇瑞新能源二维码收款收款总计更多设置设置金额 ￥1.00 个人收款码",,https://www.douyin.com/video/7410062946400816399,中性
品牌报道,视频类,抖音,??大齐体育???,翘臀R7上路了#奇瑞汽车#鸿蒙智行,翘臀R7上路了#奇瑞汽车#鸿蒙智行,|ZL-027,奇瑞汽车(1),https://www.douyin.com/video/7410062769938009371,正面
用户体验,社交类,新浪微博,ShowerGel_,老师修的好好###家妻甚美[鲜花],,奇瑞品牌全球代言人杨齿奇瑞品牌全球代言人杨紫#########################,,http://weibo.com/7302546341/OvaKL0znP?refer_flag=1001030103_,正面
销量业绩,综合类,微头条,爱聊体娱,"8月的国产车销量榜单来啦！快来看看你的爱车上榜了没？ 比亚迪，那个新能源界的超级巨星，8月销量直接飙到373,083辆！这个数字简直让人眼花缭乱，比亚迪的车主们，你们是不是也跟小红书一样，感到无比自豪呢？ 奇瑞汽车，那个从小巷子里走出来的国货骄傲，8月销量也有211,879辆！ 奇瑞的朋友们，你","8月的国产车销量榜单来啦！快来看看你的爱车上榜了没？比亚迪，那个新能源界的超级巨星，8月销量直接飙到373,083辆！这个数字简直让人眼花缭乱，比亚迪的车主们，你们是不是也跟小红书一样，感到无比自豪呢？",,奇瑞汽车(1),http://www.toutiao.com/item/1809097353283658,正面
产品报道,视频类,抖音,Wzzz',#每天推荐好车 瑞虎8plus 没人喜欢么？？？？,#每天推荐好车 瑞虎8plus 没人喜欢么？？？？,b'#' 请诚为 725000 器囍议正元汽车一站式服务中心 SONY 钣年,瑞虎8(1),https://www.douyin.com/note/7410062510050544950,中性
用户体验,社交类,新浪微博,舞动人生-新,这扎堆啊####数码大V们劝极越老板改发布时间#9月10日可真是个热闹的日子啊，苹果和华为的发布会都在这一天举行呢，没想到极越CEO夏一平也宣布极越07要在这一天上市发布。这一下可就有得瞧了，三大巨头同一天竞技。不过啊，这极越07可就面临一个大挑战了，很容易被那两位大佬的热度给掩盖掉。我就在想啊，这发布时间是不是得重新斟酌一下呢？但换个角度看，也许这也是极越的一个机遇呢，如果极越07真的有足够的实力和亮点，说不定能在这场激烈的竞争中脱颖而出。就像一匹黑马，在大家都关注苹果和华为的时候，突然惊艳众人。咱们就拭目以待，看看极越07到底会有怎样的表现，能不能在这艰难的发布时间点闯出自己的一片天。,,9月10号教师节媒体老师们可太忙了9.10苹果iPhone16上市9.10极越07上市9.10上汽大众帕萨特Pr0上市9.10捷达VS7千里江山版上市9.10宝骏云海上市9.10全新奇瑞瑞虎8Plus上市9.10AITO问界M9五座版上市@科技小胖,瑞虎8(1),http://weibo.com/7557960253/OvaJXEwNW?refer_flag=1001030103_,中性
品牌报道,综合类,今日头条,用户4099474531244,你的旧车开过来做置换吧#捷途汽车 #捷途东部,你的旧车开过来做置换吧#捷途汽车 #捷途东部,"家农好建途置换抵4.5万我就免费给你3万做首付才油选见于水天奖捷途如果你的旧车是2011年6月份之前的 18 尽一路捷途补贴国家 38 理房汽车千山 150 #X7ORI 这样旧车开过来置换直接抵捷途X70plus购车款45,000 小诺一捷途金秋焕新豪华沉稳的前脸加上真皮内饰带540倒车影像的双连屏我再给你叠加补贴15,000 活动详情咨询当地经销商旧车置换抵30000起 11年6月份的旧车叠加抵1.5万点击下方链接找我了解一下吧",捷途汽车(1),http://www.toutiao.com/item/7410061296126790963,正面
销售服务,综合类,今日头条,认真的花猫s,#交车仪式只是您享受服务的开始 #捷途汽车 #购车黄金季,#交车仪式只是您享受服务的开始 #捷途汽车 #购车黄金季,捷途捷国X70PLUS 详情请咨询嘉兴众天经销商包牌√包税包保险首付8888月供2000+,捷途汽车(1),http://www.toutiao.com/item/7410061073191161124,正面
销售服务,综合类,今日头条,认真的花猫s,#交车仪式只是您享受服务的开始 #捷途汽车 #购车黄金季,#交车仪式只是您享受服务的开始 #捷途汽车 #购车黄金季,详情请咨询嘉兴众天经销商旧车不限品牌车况里程旧车置换捷途可抵三万,捷途汽车(1),http://www.toutiao.com/item/7410060835718024489,正面
品牌报道,视频类,抖音,和田创捷汽车,#捷途汽车#旧车开过来新车开回家 #0首付,#捷途汽车#旧车开过来新车开回家 #0首付,JETOUR 00 Lus 捷途速度度 316 2024年1-8月和田捷途店置换大七座SUV 4平月员超2023全年 124年1-3月1 3160 31600 31600 活动详情请咨询当地经销商就你旧车没置换赶紧联系我置换吧旧车不限品牌不限年限不限车况旧车开过来新车开回家,捷途汽车(1),https://www.douyin.com/video/7410060392304594227,中性
品牌报道,视频类,抖音,浪漫人生路。,,,丰田日产凯迪拉克 No.3 LAND> -ROVER 林肯路虎捷豹 No.4 STUTTGART 兰博基尼保时捷 No.5 雷克萨斯 No.6 讴歌长安 INFINITI 英菲尼迪 No.7 奇瑞沃尔沃五菱宏光三菱科尔维特 No.8 No.9 吉利柯尼塞格 apollo 居然全认识布加迪阿波罗世爵无敌了! No.10 测测你认识多少车标,,https://www.douyin.com/video/7410060241951264012,中性
品牌报道,视频类,抖音,晓强同学,太帅啦，铁铁们！#捷途汽车,太帅啦，铁铁们！#捷途汽车,山海T2,捷途汽车(1),https://www.douyin.com/note/7410060050955242787,正面
产品报道,视频类,快手,吃夜宵,2024款24星途瑶光CMD车衣车罩专用汽车外罩车套防晒防雨加厚隔热 #汽车农机后市场 #汽车装饰 #车衣,,防刮耐磨·使用更长久内衬部分我们采用较好的新疆长绒棉材质,星途瑶光(1),https://www.kuaishou.com/short-video/3x8keyfvzg3yd74,正面
